Product name (名称),Price (RM),Pack (规格),Description (描述),Product code (货号),Link (链接),Category (分类),Image to shoot (待拍照片)
Sup Kacang Manis 传统花生糊,7.00,300g * Pkt — Packet / 包,"炒制花生细磨慢熬，口感丝滑，浓郁醇香，温暖心扉。 Velvety, rich cream roasted peanut soup. Creamy, aromatic, and comforting traditional Chinese dessert. | 批发规格 Bulk: 300g * 30Pkt * Ctn RM210.00",9551738298364,https://alekhlasfood.com/#catalog,Chinese Dessert Soup / 传统糖水,https://images.unsplash.com/photo-1600271886742-f049cd451bba?auto=format&fit=crop&w=600&q=80
Ayam Goreng Krispi 酥脆小酥肉,38.00,1kg * Pkt — Packet / 包,"外表金黄酥脆，内里肉质细嫩，特调香料入味，极佳小零嘴。 Golden, crispy, seasoned chicken bites. Perfectly spiced, crispy outside and tender inside. | 批发规格 Bulk: 1kg * 10Pkt * Ctn RM370.00",9558268768336,https://alekhlasfood.com/#catalog,Crispy Snacks / 精致小吃,https://images.unsplash.com/photo-1569058242253-92a9c755a0ec?auto=format&fit=crop&w=600&q=80
Kuih Pulut dengan Gula Merah 红糖糍粑,5.30,230g * Pkt — Packet / 包,"软糯香Q的糯米糍粑，淋上浓郁红糖浆，外酥里糯，甜而不腻。 Chewy glutinous rice cakes served with rich, fragrant liquid brown sugar syrup (gula merah). | 批发规格 Bulk: 230g * Box RM6.50 · 230g * 30Pkt * Ctn RM195.00",9558268783117,https://alekhlasfood.com/#catalog,Crispy Snacks / 精致小吃,https://alekhlasfood.com/assets/brown_sugar_ciba_1783817158846.jpg
Kuih Labu (Pumpkin Pie) 黄金南瓜饼,15.00,24pcs * Pkt — Packet / 包,色泽金黄夺目，软甜南瓜内馅，外层香脆，散发淡淡南瓜芬芳。 Crispy fried pumpkin pies with a soft sweet pumpkin filling. Golden and naturally sweet. | 批发规格 Bulk: 24pcs * 30Pkt * Ctn RM450.00,9558268783315,https://alekhlasfood.com/#catalog,Crispy Snacks / 精致小吃,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80
Ice Cream Goreng (3 Flavors Choice) 炸冰淇淋 (3种口味可选),25.00,10pcs * Pkt — Packet / 包,"冰火交织的美味！外层包点酥香，内里香甜冰淇淋。提供 3 种口味选择：香草味、巧克力味、芋泥味（下单请在备注中注明所需口味）。 A magical dessert! Warm crispy bread coating wrapped around ice-cold, premium ice cream. 3 flavors choice: Vanilla, Chocolate, and Yam. | 批发规格 Bulk: 10pcs * 10Pkt * Ctn RM250.00",9552573738824,https://alekhlasfood.com/#catalog,Crispy Snacks / 精致小吃,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?auto=format&fit=crop&w=600&q=80
Susu Goreng 黄金炸鲜奶,8.60,180g * Pkt — Packet / 包,"外脆内柔，奶香浓郁，一口咬下，温热甜润的牛奶内芯在舌尖融化。 Crispy fried milk nuggets with a sweet, creamy, molten custard milk center. | 批发规格 Bulk: 180g * 30Pkt * Ctn RM250.00",9552573738879,https://alekhlasfood.com/#catalog,Crispy Snacks / 精致小吃,https://images.unsplash.com/photo-1555126634-323283e090fa?auto=format&fit=crop&w=600&q=80
Dumpling Ayam Cendawan 鸡肉香菇饺子,54.00,2kg * Pck — Pack / 包,"面皮劲道，包裹鲜美多汁的鸡肉与浓郁香菇丁，满口鲜美。 Thick, bouncy dumplings filled with savory minced chicken breast and earthy, fragrant shiitake mushrooms.",9555413427490,https://alekhlasfood.com/#catalog,Gourmet Dumplings / 饺子系列,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?auto=format&fit=crop&w=600&q=80
Dumpling Ayam Kubis 鸡肉白菜饺子,54.00,2kg * Pck — Pack / 包,"爽脆白菜遇上软嫩鸡肉，经典家常口味，清甜不腻，鲜美爽口。 Comforting, classic dumplings stuffed with sweet minced chicken and crisp, fresh cabbage slices.",9555413444138,https://alekhlasfood.com/#catalog,Gourmet Dumplings / 饺子系列,https://images.unsplash.com/photo-1541696432-82c6da8ce7bf?auto=format&fit=crop&w=600&q=80
Dumpling Beef & Leek 牛肉大葱饺子,54.00,2kg * Pck — Pack / 包,"劲道面皮包入浓郁牛肉大葱馅，汁多味浓，饱满扎实。 Rich, robust dumplings featuring minced beef seasoned with fragrant local Chinese leeks.",9555413941330,https://alekhlasfood.com/#catalog,Gourmet Dumplings / 饺子系列,https://images.unsplash.com/photo-1525755662778-989d0524087e?auto=format&fit=crop&w=600&q=80
Dumpling Kambing & Lobak 羊肉白萝卜饺子,56.00,2kg * Pck — Pack / 包,"清甜白萝卜搭配鲜美羊肉，温补鲜嫩，去腥提味，汁水充盈。 Premium mutton dumplings seasoned beautifully with crisp white radish, reducing gaminess for ultimate flavor.",9555414941347,https://alekhlasfood.com/#catalog,Gourmet Dumplings / 饺子系列,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=600&q=80
Daging Masak Masam Emas 酸汤金汤肥牛,8.80,200g * Pkt — Packet / 包,精选肥牛切片置于金灿酸汤，酸辣开胃，汤头浓郁，热辣过瘾。 Tender beef slices in a luxurious golden pumpkin-and-wild-pepper sour soup. Extravagantly appetizing. | 批发规格 Bulk: 20Pkt * Ctn RM176.00,9551789215037,https://alekhlasfood.com/#catalog,Ready To Eat Meals / 中式料理包,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=600&q=80
Daging Masak Merah 秘制红烧牛肉,9.00,200g * Unit — Unit / 个,"古法慢炖，色泽红亮，肉质软烂，酱香甜辣，大马经典下饭菜。 Malaysian classic sweet-spicy red cooked beef or deep Chinese braised red beef style. Savory, meltingly tender. | 批发规格 Bulk: 1kg * Pkt RM36.00 · 1kg * 12Pkt * Ctn RM456.00",9551789215068,https://alekhlasfood.com/#catalog,Ready To Eat Meals / 中式料理包,https://images.unsplash.com/photo-1534939561126-855b8675edd7?auto=format&fit=crop&w=600&q=80
Claypot Kambing 滋补羊肉煲,11.00,350g * Pkt — Packet / 包,"陶罐慢火煨炖，羊肉酥烂，浓缩中草药与香料精华，暖身滋补。 Rich, warming claypot style braised mutton with traditional Chinese warming herbs and soy sauces. | 批发规格 Bulk: 20Pkt * Ctn RM220.00",9551789216027,https://alekhlasfood.com/#catalog,Ready To Eat Meals / 中式料理包,https://images.unsplash.com/photo-1547928500-4722f55cd91e?auto=format&fit=crop&w=600&q=80
Claypot Ayam 香浓鸡肉煲,6.50,350g * Pkt — Packet / 包,"黑酱油、生姜与麻油焖煮鸡块，香气浓郁逼人，滑嫩多汁。 Aromatic claypot style chicken stew cooked with thick premium soy sauce, ginger, and sesame oil. | 批发规格 Bulk: 20Pkt * Ctn RM130.00",9551789217178,https://alekhlasfood.com/#catalog,Ready To Eat Meals / 中式料理包,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?auto=format&fit=crop&w=600&q=80
Ayam Masam & Manis 经典酸甜鸡块,5.80,200g * Pkt — Packet / 包,"酸甜可口，番茄与菠萝调配出黄金比例酱汁裹满鸡丁，经典百搭。 Crispy fried chicken chunks tossed in a glossy, tangy, sweet tomato and pineapple-based sauce. | 批发规格 Bulk: 20Pkt * Ctn RM116.00",9551789217024,https://alekhlasfood.com/#catalog,Ready To Eat Meals / 中式料理包,https://images.unsplash.com/photo-1525755662778-989d0524087e?auto=format&fit=crop&w=600&q=80
Ayam Cincang dengan Terung 鸡肉沫茄子,5.80,200g * Pkt — Packet / 包,鸡肉碎咸香多汁，茄子软糯入味，蒜香浓厚，下饭第一名。 Savory minced chicken sautéed with melt-in-the-mouth purple eggplants in garlic paste sauce. | 批发规格 Bulk: 20Pkt * Ctn RM116.00,9551789217079,https://alekhlasfood.com/#catalog,Ready To Eat Meals / 中式料理包,https://images.unsplash.com/photo-1623065422902-30a2ad4dc9b4?auto=format&fit=crop&w=600&q=80
Ayam Cendawan 经典香菇焖鸡,5.80,200g * Pkt — Packet / 包,滑嫩鸡块与香菇鲜汤完美契合，慢火焖煮，香气渗入骨髓。 Hearty homestyle chicken stewed with flavorful plump shiitake mushrooms in natural jus broth. | 批发规格 Bulk: 20Pkt * Ctn RM116.00,9551789217185,https://alekhlasfood.com/#catalog,Ready To Eat Meals / 中式料理包,https://images.unsplash.com/photo-1541696432-82c6da8ce7bf?auto=format&fit=crop&w=600&q=80
Ayam Kuning Berempah 秘制黄焖鸡,6.80,200g * Pkt — Packet / 包,"融合黄姜、生姜与大蒜，文火慢煨黄焖鸡，色泽金黄，浓香粘稠。 Malaysian-Chinese fusion stewed yellow gravy chicken cooked with ginger, garlic, and fresh turmeric roots. | 批发规格 Bulk: 20Pkt * Ctn RM136.00",9551789217192,https://alekhlasfood.com/#catalog,Ready To Eat Meals / 中式料理包,https://images.unsplash.com/photo-1562967914-608f82629710?auto=format&fit=crop&w=600&q=80
Sup Kolagen Ayam Emas 金汤花胶鸡汤底,36.00,1kg * Pkt — Packet / 包,精选老母鸡慢熬数小时，汤色金黄亮泽，胶原蛋白满满，鲜美浓醇。 Luxurious Golden Chicken soup base packed with collagen from hours of slow simmering marrow bone broth. | 批发规格 Bulk: 1kg * 12Pkt * Ctn RM430.00,9551738298371,https://alekhlasfood.com/#catalog,Premium Hotpot Soups & Sauces / 火锅底料 & 酱料,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=600&q=80
Sup Jeruk Sayur 正宗酸菜鱼汤底,28.00,1kg * Pkt — Packet / 包,"四川老坛酸菜酿造，微辣清酸，熬制高汤开胃生津，涮鱼绝配。 Tangy, spicy Sichuan fermented mustard green hotpot soup base. A classic savory sensation. | 批发规格 Bulk: 1kg * 12Pkt * Ctn RM330.00",9551738298388,https://alekhlasfood.com/#catalog,Premium Hotpot Soups & Sauces / 火锅底料 & 酱料,https://images.unsplash.com/photo-1547928500-4722f55cd91e?auto=format&fit=crop&w=600&q=80
Sup Tomato 鲜番茄火锅底料,28.00,1kg * Pkt — Packet / 包,"采用阳光熟番茄打磨熬制，酸爽香甜，浓郁浓稠，营养健康。 Rich, sweet, and tangy premium hotpot soup base made of sun-ripened fresh tomato puree. | 批发规格 Bulk: 1kg * 10Pkt * Ctn RM280.00",9551738298395,https://alekhlasfood.com/#catalog,Premium Hotpot Soups & Sauces / 火锅底料 & 酱料,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?auto=format&fit=crop&w=600&q=80
Sup Ayam Masam Pedas 泡椒酸辣鸡汤底,56.00,2kg * Pkt — Packet / 包,"正宗四川泡椒调味，酸辣带劲，回甘清爽，酣畅淋漓。 A punchy, dynamic hotpot base featuring pickled wild peppers. Extra tangy, sour and hot. | 批发规格 Bulk: 2kg * 12Pkt * Ctn RM672.00",9551738298302,https://alekhlasfood.com/#catalog,Premium Hotpot Soups & Sauces / 火锅底料 & 酱料,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=600&q=80
Sup Sichuan Mala Pedas 川味麻辣火锅底料,28.00,1kg * Pkt — Packet / 包,"正宗川蜀牛油/植物油麻辣底料，辣而不燥，麻味绵长。 The ultimate numbingly hot Sichuan Mala soup block. Rich oil, loaded with peppercorns and dried chili. | 批发规格 Bulk: 1kg * 10Pkt * Ctn RM280.00",9551738298319,https://alekhlasfood.com/#catalog,Premium Hotpot Soups & Sauces / 火锅底料 & 酱料,https://images.unsplash.com/photo-1513456852971-30c0b8199d4d?auto=format&fit=crop&w=600&q=80
Minyak Cili Merah 特级秘制红辣椒油,18.00,500g * Pkt — Packet / 包,"红亮剔透，辣油鲜美，拌面、蘸饺子、凉拌菜绝佳调味品。 Deep red, immensely fragrant seasoned chili oil. Packed with toasted chili flakes and spices. | 批发规格 Bulk: 500g * 12Pkt * Ctn RM210.00",9556789876875,https://alekhlasfood.com/#catalog,Premium Hotpot Soups & Sauces / 火锅底料 & 酱料,https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?auto=format&fit=crop&w=600&q=80
Sos Bawang Putih 黄金蒜蓉蘸酱,18.00,500g * Pkt — Packet / 包,"精研生蒜慢火熬制，辟腥提鲜，蒜香饱满持久。 Thick, fragrant golden garlic sauce. Ideal condiment for steam seafood, hotpot dipping, or stir-fries. | 批发规格 Bulk: 500g * 12Pkt * Ctn RM210.00",9556789876868,https://alekhlasfood.com/#catalog,Premium Hotpot Soups & Sauces / 火锅底料 & 酱料,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?auto=format&fit=crop&w=600&q=80
Isi Ikan Diperap 秘制腌制鱼片,8.60,250g * pck — Pack / 包,"鱼肉软嫩，秘法腌制，不散不老，下锅即熟，口感滑溜。 Velvety tender fish fillets pre-marinated to retain moisture. Perfect for hotpot, acid-soup or stir fry. | 批发规格 Bulk: 40pck * ctn RM344.00",9556321012303,https://alekhlasfood.com/#catalog,Marinated Meats / 秘制腌制肉片,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?auto=format&fit=crop&w=600&q=80
Daging Diperap 秘制腌制牛肉片,22.00,500g * pck — Pack / 包,"精切嫩肉片，肉质嫩滑多汁，火锅涮肉、爆炒皆宜。 Juicy, thinly sliced beef cuts beautifully tenderized and marinated. Cook in seconds. | 批发规格 Bulk: 2kg * pck RM80.00",9556321012334,https://alekhlasfood.com/#catalog,Marinated Meats / 秘制腌制肉片,https://images.unsplash.com/photo-1603048588665-791ca8aea617?auto=format&fit=crop&w=600&q=80
Kambing Diperap 秘制腌制羊肉片,30.00,500g * pck — Pack / 包,优质羊肉切片，秘制调料去膻味，肉香醇厚，烧烤爆炒首选。 Succulent mutton slices tenderly prepared with herbs to neutralize gamey aroma. Fragrant and delicious. | 批发规格 Bulk: 2kg * pck RM120.00,9556321012327,https://alekhlasfood.com/#catalog,Marinated Meats / 秘制腌制肉片,https://images.unsplash.com/photo-1514516345957-556ca7d90a29?auto=format&fit=crop&w=600&q=80
Daun Teh Ba Bao 经典八宝茶,5.00,25g * pck — Pack / 包,"红枣、枸杞、龙眼、冰糖、菊花与绿茶融为一体，甘甜清爽。 Traditional wellness tea blend with red dates, wolfberries, longan, rock sugar, chrysanthemum, and green tea. | 批发规格 Bulk: 30pck * ctn RM150.00",9551045275607,https://alekhlasfood.com/#catalog,Flower Tea / 花茶,https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&w=600&q=80
Daun Teh Wolfberry 润燥美目茶,4.00,25g * pck — Pack / 包,特调配方，明目润燥，茶汤澄澈甜润，手机族、电脑族必备。 Nourishing botanical blend designed to soothe eyes and hydrate the body. Loaded with premium goji berries. | 批发规格 Bulk: 30pck * ctn RM120.00,9551045275638,https://alekhlasfood.com/#catalog,Flower Tea / 花茶,https://images.unsplash.com/photo-1597481499750-3e6b22637e12?auto=format&fit=crop&w=600&q=80
Daun Teh Roselle 洛神花草茶,4.00,25g * pck — Pack / 包,自然酸甜，呈红宝石般瑰丽色彩，解腻生津，抗氧好帮手。 Tangy-sweet herbal tea made from dried roselle calyces. Vibrant red and full of antioxidants. | 批发规格 Bulk: 30pck * ctn RM120.00,9551045275645,https://alekhlasfood.com/#catalog,Flower Tea / 花茶,https://images.unsplash.com/photo-1506084868230-bb9d95c24759?auto=format&fit=crop&w=600&q=80
Daun Teh Bunga Kekwa 清火菊花茶,4.00,25g * pck — Pack / 包,精选金丝黄菊，清香悠长，清热解毒，夏日防暑常备。 Refreshing aromatic tea made from selected golden chrysanthemum flowers. Clears summer heat. | 批发规格 Bulk: 30pck * ctn RM120.00,9551045275669,https://alekhlasfood.com/#catalog,Flower Tea / 花茶,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=600&q=80
Sup Ayam Kelapa 椰子炖鸡汤底包,8.50,400g * Pkt — Packet / 包,清甜椰香高汤包，蕴含椰肉与天然草本，汤头鲜甜清润。 Refreshing sweet herbal base with coconut flavors. Brings island warmth and sweetness to chicken soup.,9551738298623,https://alekhlasfood.com/#catalog,Herbal Soup Pack / 养生汤包,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=600&q=80
Sup Ayam Cendawan Susu Harimau 虎乳芝养肺鸡汤包,8.50,400g * Pkt — Packet / 包,大马国宝级药材“虎乳芝”特配高汤包，润肺止咳，提升免疫力。 Precious Tiger Milk Mushroom (Cendawan Susu Harimau) boiled to boost lung health and immunity.,9551738298548,https://alekhlasfood.com/#catalog,Herbal Soup Pack / 养生汤包,https://images.unsplash.com/photo-1547928500-4722f55cd91e?auto=format&fit=crop&w=600&q=80
Sup Rempah Tianma Tradisi 天麻安神补脑汤包,8.50,400g * Pkt — Packet / 包,"精配天麻中草药，宁神安脑，缓解头痛头晕，清心醒脑。 A traditional herbal blend highlighting Gastrodia (Tianma) to soothe headaches, improve sleep and focus.",9551738298425,https://alekhlasfood.com/#catalog,Herbal Soup Pack / 养生汤包,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?auto=format&fit=crop&w=600&q=80
Sup Rempah Bajitian 巴戟天强肾壮骨汤包,8.50,400g * Pkt — Packet / 包,"巴戟天经典药膳包，强筋骨、壮腰膝，消除疲劳，增强体力。 Nourishing soup base highlighting Morinda Root (Bajitian) to strengthen lower back, joints and energy.",9551738298494,https://alekhlasfood.com/#catalog,Herbal Soup Pack / 养生汤包,https://images.unsplash.com/photo-1541696432-82c6da8ce7bf?auto=format&fit=crop&w=600&q=80
Sup Rempah Cendawan Cordyceps 虫草花补肺滋肾汤包,8.50,400g * Pkt — Packet / 包,精选金黄虫草花，色泽诱人，滋阴润肺，益肾养颜。 Vibrant golden cordyceps flowers matched with supporting herbs to nurture kidney and respiratory functions.,9551738298456,https://alekhlasfood.com/#catalog,Herbal Soup Pack / 养生汤包,https://images.unsplash.com/photo-1547928500-4722f55cd91e?auto=format&fit=crop&w=600&q=80
Sup Ayam Goji & Kekwa 枸杞菊花明目鸡汤包,8.50,400g * Pkt — Packet / 包,清火明目特调，枸杞蜜香加小黄菊清凉，汤感清爽微甘。 Eye-care specialty herbal soup pack. Golden sweet wolfberry and crisp cooling chrysanthemum flavor.,9551738298616,https://alekhlasfood.com/#catalog,Herbal Soup Pack / 养生汤包,https://images.unsplash.com/photo-1600271886742-f049cd451bba?auto=format&fit=crop&w=600&q=80
Serbuk Perencah Mi Lanzhou 兰州牛肉面调料包,30.00,500g * Pkt — Packet / 包,十五种传统天然香料黄金配比，一包还原正宗兰州拉面清香高汤底。 The secret spice mix of Lanzhou beef ramen. Deeply flavorful blend of 15 authentic dry spices. | 批发规格 Bulk: 500g * 12Pkt * Ctn RM350.00,9550318268582,https://alekhlasfood.com/#catalog,Gourmet Seasoning / 风味调味料,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?auto=format&fit=crop&w=600&q=80
Serbuk Perisa BBQ 经典风味烧烤撒料包,30.00,500g * Pkt — Packet / 包,"咸甜微熏，香气四溢。最适宜作为烧烤肉串、海鲜或炸物撒粉。 Savory, sweet, smoky barbecue dry-rub powder. Perfect for skewered chicken, meats or fries. | 批发规格 Bulk: 500g * 12Pkt * Ctn RM350.00",9551789218021,https://alekhlasfood.com/#catalog,Gourmet Seasoning / 风味调味料,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=600&q=80
Serbuk Perisa Mala BBQ 秘制麻辣烧烤撒料包,30.00,500g * Pkt — Packet / 包,精选汉源花椒与二荆条红椒打磨，麻辣过瘾，激发肉食深层香味。 Zesty Sichuan pepper and red chili dry seasoning powder. Adds a punchy numbing thrill to bbq skewers. | 批发规格 Bulk: 500g * 12Pkt * Ctn RM350.00,AEM-ML-BBQ,https://alekhlasfood.com/#catalog,Gourmet Seasoning / 风味调味料,https://images.unsplash.com/photo-1596797038530-2c107229654b?auto=format&fit=crop&w=600&q=80
