id,title,description,availability,condition,price,link,image_link,brand,item_group_id,product_type,gtin,mpn
sate-ayam-classic__sac-pkt,Sate Ayam 鸡肉串 (400g * Pkt),"Malaysian national favorite chicken satay. Soft, sweet-savory marinade, perfect for the whole family. 大马国民美味鸡肉串，香甜入味，肉质弹牙，家少皆宜。",in stock,new,22.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-ayam-classic,Satay Skewer / 烧烤串,9554131379623,
sate-ayam-classic__sac-ctn,Sate Ayam 鸡肉串 (400g * 20Pkt * Ctn),"Malaysian national favorite chicken satay. Soft, sweet-savory marinade, perfect for the whole family. 大马国民美味鸡肉串，香甜入味，肉质弹牙，家少皆宜。",in stock,new,440.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,sate-ayam-classic,Satay Skewer / 烧烤串,,9554131379623-sac-ctn
soup-pir-gula-batu__pgb-pkt,Air Pir Gula Batu 冰糖雪梨 (450g * Pkt),"Sweet, soothing pear nectar double-boiled with rock sugar to soothe the throat and cool the body. 雪梨温润，加冰糖悉心慢炖，清甜滋润，清热润肺。",in stock,new,6.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1541832676-9b763b0239ab?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-pir-gula-batu,Chinese Dessert Soup / 传统糖水,9553183093709,
soup-pir-gula-batu__pgb-ctn12,Air Pir Gula Batu 冰糖雪梨 (450g * 12Pkt * Ctn),"Sweet, soothing pear nectar double-boiled with rock sugar to soothe the throat and cool the body. 雪梨温润，加冰糖悉心慢炖，清甜滋润，清热润肺。",in stock,new,78.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1541832676-9b763b0239ab?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-pir-gula-batu,Chinese Dessert Soup / 传统糖水,,9553183093709-pgb-ctn12
soup-pir-gula-batu-bucket__pgb-bkt-pkt,Air Pir Gula Batu (With Bucket) 冰糖雪梨 (小桶装) (450g * Pkt),Convenient bucket-sized serving of our traditional sweet double-boiled pear rock sugar soup. 传统冰糖雪梨，精美桶装，携带便利，清甜更尽兴。,in stock,new,6.50 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1541832676-9b763b0239ab?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-pir-gula-batu-bucket,Chinese Dessert Soup / 传统糖水,,9553183093709-pgb-bkt-pkt
soup-pir-gula-batu-bucket__pgb-bkt-ctn12,Air Pir Gula Batu (With Bucket) 冰糖雪梨 (小桶装) (450g * 12Pkt * Ctn),Convenient bucket-sized serving of our traditional sweet double-boiled pear rock sugar soup. 传统冰糖雪梨，精美桶装，携带便利，清甜更尽兴。,in stock,new,78.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1541832676-9b763b0239ab?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-pir-gula-batu-bucket,Chinese Dessert Soup / 传统糖水,,9553183093709-pgb-bkt-ctn12
soup-kelapa-laut-longan__kll-pkt,Air Kelapa Laut & Longan Manis 海底椰龙眼糖水 (500g * Pkt),Classic tropical refreshment combining sweet sea coconut and dried longan. Deeply hydrating. 热带经典清凉糖水，香甜海底椰肉伴随干龙眼，清甜消暑。,in stock,new,5.50 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1596797038530-2c107229654b?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-kelapa-laut-longan,Chinese Dessert Soup / 传统糖水,9553183093716,
soup-kelapa-laut-longan__kll-ctn,Air Kelapa Laut & Longan Manis 海底椰龙眼糖水 (500g * 30Pkt * Ctn),Classic tropical refreshment combining sweet sea coconut and dried longan. Deeply hydrating. 热带经典清凉糖水，香甜海底椰肉伴随干龙眼，清甜消暑。,in stock,new,165.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1596797038530-2c107229654b?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-kelapa-laut-longan,Chinese Dessert Soup / 传统糖水,,9553183093716-kll-ctn
soup-nanas-longan__anl-pkt,Air Nanas & Longan Manis 菠萝龙眼糖水 (500g * Pkt),A vibrant fruity fusion of tangy sweet pineapple chunks and juicy sweet longan fruits. 菠萝的微酸清甜与龙眼蜜香碰撞，带来满口爽朗果香。,in stock,new,5.50 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1618897996318-5a901fa6ca71?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-nanas-longan,Chinese Dessert Soup / 传统糖水,9553183093723,
soup-nanas-longan__anl-ctn,Air Nanas & Longan Manis 菠萝龙眼糖水 (500g * 30Pkt * Ctn),A vibrant fruity fusion of tangy sweet pineapple chunks and juicy sweet longan fruits. 菠萝的微酸清甜与龙眼蜜香碰撞，带来满口爽朗果香。,in stock,new,165.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1618897996318-5a901fa6ca71?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-nanas-longan,Chinese Dessert Soup / 传统糖水,,9553183093723-anl-ctn
soup-kacang-manis__skm-p-pkt,Sup Kacang Manis 传统花生糊 (300g * Pkt),"Velvety, rich cream roasted peanut soup. Creamy, aromatic, and comforting traditional Chinese dessert. 炒制花生细磨慢熬，口感丝滑，浓郁醇香，温暖心扉。",in stock,new,7.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1600271886742-f049cd451bba?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-kacang-manis,Chinese Dessert Soup / 传统糖水,9551738298364,
soup-kacang-manis__skm-p-ctn,Sup Kacang Manis 传统花生糊 (300g * 30Pkt * Ctn),"Velvety, rich cream roasted peanut soup. Creamy, aromatic, and comforting traditional Chinese dessert. 炒制花生细磨慢熬，口感丝滑，浓郁醇香，温暖心扉。",in stock,new,210.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1600271886742-f049cd451bba?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,soup-kacang-manis,Chinese Dessert Soup / 传统糖水,,9551738298364-skm-p-ctn
snack-ayam-goreng-krispi__agk-pkt,Ayam Goreng Krispi 酥脆小酥肉 (1kg * Pkt),"Golden, crispy, seasoned chicken bites. Perfectly spiced, crispy outside and tender inside. 外表金黄酥脆，内里肉质细嫩，特调香料入味，极佳小零嘴。",in stock,new,38.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1569058242253-92a9c755a0ec?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,snack-ayam-goreng-krispi,Crispy Snacks / 精致小吃,9558268768336,
snack-ayam-goreng-krispi__agk-ctn,Ayam Goreng Krispi 酥脆小酥肉 (1kg * 10Pkt * Ctn),"Golden, crispy, seasoned chicken bites. Perfectly spiced, crispy outside and tender inside. 外表金黄酥脆，内里肉质细嫩，特调香料入味，极佳小零嘴。",in stock,new,370.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1569058242253-92a9c755a0ec?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,snack-ayam-goreng-krispi,Crispy Snacks / 精致小吃,,9558268768336-agk-ctn
snack-kuih-pulut-gula-merah__kpg-pkt,Kuih Pulut dengan Gula Merah 红糖糍粑 (230g * Pkt),"Chewy glutinous rice cakes served with rich, fragrant liquid brown sugar syrup (gula merah). 软糯香Q的糯米糍粑，淋上浓郁红糖浆，外酥里糯，甜而不腻。",in stock,new,5.30 MYR,https://alekhlasfood.com/#catalog,https://alekhlasfood.com/assets/brown_sugar_ciba_1783817158846.jpg,AEM Frozen Food,snack-kuih-pulut-gula-merah,Crispy Snacks / 精致小吃,9558268783117,
snack-kuih-pulut-gula-merah__kpg-box,Kuih Pulut dengan Gula Merah 红糖糍粑 (230g * Box),"Chewy glutinous rice cakes served with rich, fragrant liquid brown sugar syrup (gula merah). 软糯香Q的糯米糍粑，淋上浓郁红糖浆，外酥里糯，甜而不腻。",in stock,new,6.50 MYR,https://alekhlasfood.com/#catalog,https://alekhlasfood.com/assets/brown_sugar_ciba_1783817158846.jpg,AEM Frozen Food,snack-kuih-pulut-gula-merah,Crispy Snacks / 精致小吃,,9558268783117-kpg-box
snack-kuih-pulut-gula-merah__kpg-ctn,Kuih Pulut dengan Gula Merah 红糖糍粑 (230g * 30Pkt * Ctn),"Chewy glutinous rice cakes served with rich, fragrant liquid brown sugar syrup (gula merah). 软糯香Q的糯米糍粑，淋上浓郁红糖浆，外酥里糯，甜而不腻。",in stock,new,195.00 MYR,https://alekhlasfood.com/#catalog,https://alekhlasfood.com/assets/brown_sugar_ciba_1783817158846.jpg,AEM Frozen Food,snack-kuih-pulut-gula-merah,Crispy Snacks / 精致小吃,,9558268783117-kpg-ctn
snack-kuih-labu__kl-pkt,Kuih Labu (Pumpkin Pie) 黄金南瓜饼 (24pcs * Pkt),Crispy fried pumpkin pies with a soft sweet pumpkin filling. Golden and naturally sweet. 色泽金黄夺目，软甜南瓜内馅，外层香脆，散发淡淡南瓜芬芳。,in stock,new,15.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,snack-kuih-labu,Crispy Snacks / 精致小吃,9558268783315,
snack-kuih-labu__kl-ctn,Kuih Labu (Pumpkin Pie) 黄金南瓜饼 (24pcs * 30Pkt * Ctn),Crispy fried pumpkin pies with a soft sweet pumpkin filling. Golden and naturally sweet. 色泽金黄夺目，软甜南瓜内馅，外层香脆，散发淡淡南瓜芬芳。,in stock,new,450.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,snack-kuih-labu,Crispy Snacks / 精致小吃,,9558268783315-kl-ctn
snack-ice-cream-goreng__icg-pkt,Ice Cream Goreng (3 Flavors Choice) 炸冰淇淋 (3种口味可选) (10pcs * Pkt),"A magical dessert! Warm crispy bread coating wrapped around ice-cold, premium ice cream. 3 flavors choice: Vanilla, Chocolate, and Yam. 冰火交织的美味！外层包点酥香，内里香甜冰淇淋。提供 3 种口味选择：香草味、巧克力味、芋泥味（下单请在备注中注明所需口味）。",in stock,new,25.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,snack-ice-cream-goreng,Crispy Snacks / 精致小吃,9552573738824,
snack-ice-cream-goreng__icg-ctn,Ice Cream Goreng (3 Flavors Choice) 炸冰淇淋 (3种口味可选) (10pcs * 10Pkt * Ctn),"A magical dessert! Warm crispy bread coating wrapped around ice-cold, premium ice cream. 3 flavors choice: Vanilla, Chocolate, and Yam. 冰火交织的美味！外层包点酥香，内里香甜冰淇淋。提供 3 种口味选择：香草味、巧克力味、芋泥味（下单请在备注中注明所需口味）。",in stock,new,250.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,snack-ice-cream-goreng,Crispy Snacks / 精致小吃,,9552573738824-icg-ctn
snack-susu-goreng__sg-pkt,Susu Goreng 黄金炸鲜奶 (180g * Pkt),"Crispy fried milk nuggets with a sweet, creamy, molten custard milk center. 外脆内柔，奶香浓郁，一口咬下，温热甜润的牛奶内芯在舌尖融化。",in stock,new,8.60 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1555126634-323283e090fa?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,snack-susu-goreng,Crispy Snacks / 精致小吃,9552573738879,
snack-susu-goreng__sg-ctn,Susu Goreng 黄金炸鲜奶 (180g * 30Pkt * Ctn),"Crispy fried milk nuggets with a sweet, creamy, molten custard milk center. 外脆内柔，奶香浓郁，一口咬下，温热甜润的牛奶内芯在舌尖融化。",in stock,new,250.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1555126634-323283e090fa?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,snack-susu-goreng,Crispy Snacks / 精致小吃,,9552573738879-sg-ctn
dumpling-ayam-cendawan__dac-pck,Dumpling Ayam Cendawan 鸡肉香菇饺子 (2kg * Pck),"Thick, bouncy dumplings filled with savory minced chicken breast and earthy, fragrant shiitake mushrooms. 面皮劲道，包裹鲜美多汁的鸡肉与浓郁香菇丁，满口鲜美。",in stock,new,54.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,dumpling-ayam-cendawan,Gourmet Dumplings / 饺子系列,9555413427490,
dumpling-ayam-kubis__dak-pck,Dumpling Ayam Kubis 鸡肉白菜饺子 (2kg * Pck),"Comforting, classic dumplings stuffed with sweet minced chicken and crisp, fresh cabbage slices. 爽脆白菜遇上软嫩鸡肉，经典家常口味，清甜不腻，鲜美爽口。",in stock,new,54.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1541696432-82c6da8ce7bf?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,dumpling-ayam-kubis,Gourmet Dumplings / 饺子系列,9555413444138,
dumpling-beef-leek__dbl-pck,Dumpling Beef & Leek 牛肉大葱饺子 (2kg * Pck),"Rich, robust dumplings featuring minced beef seasoned with fragrant local Chinese leeks. 劲道面皮包入浓郁牛肉大葱馅，汁多味浓，饱满扎实。",in stock,new,54.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1525755662778-989d0524087e?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,dumpling-beef-leek,Gourmet Dumplings / 饺子系列,9555413941330,
dumpling-kambing-lobak__dkl-pck,Dumpling Kambing & Lobak 羊肉白萝卜饺子 (2kg * Pck),"Premium mutton dumplings seasoned beautifully with crisp white radish, reducing gaminess for ultimate flavor. 清甜白萝卜搭配鲜美羊肉，温补鲜嫩，去腥提味，汁水充盈。",in stock,new,56.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,dumpling-kambing-lobak,Gourmet Dumplings / 饺子系列,,9555414941347-dkl-pck
rte-daging-masam-emas__dme-pkt,Daging Masak Masam Emas 酸汤金汤肥牛 (200g * Pkt),Tender beef slices in a luxurious golden pumpkin-and-wild-pepper sour soup. Extravagantly appetizing. 精选肥牛切片置于金灿酸汤，酸辣开胃，汤头浓郁，热辣过瘾。,in stock,new,8.80 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-daging-masam-emas,Ready To Eat Meals / 中式料理包,9551789215037,
rte-daging-masam-emas__dme-ctn,Daging Masak Masam Emas 酸汤金汤肥牛 (20Pkt * Ctn),Tender beef slices in a luxurious golden pumpkin-and-wild-pepper sour soup. Extravagantly appetizing. 精选肥牛切片置于金灿酸汤，酸辣开胃，汤头浓郁，热辣过瘾。,in stock,new,176.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-daging-masam-emas,Ready To Eat Meals / 中式料理包,,9551789215037-dme-ctn
rte-daging-masak-merah__dmm-unit,Daging Masak Merah 秘制红烧牛肉 (200g * Unit),"Malaysian classic sweet-spicy red cooked beef or deep Chinese braised red beef style. Savory, meltingly tender. 古法慢炖，色泽红亮，肉质软烂，酱香甜辣，大马经典下饭菜。",in stock,new,9.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1534939561126-855b8675edd7?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-daging-masak-merah,Ready To Eat Meals / 中式料理包,9551789215068,
rte-daging-masak-merah__dmm-pkt,Daging Masak Merah 秘制红烧牛肉 (1kg * Pkt),"Malaysian classic sweet-spicy red cooked beef or deep Chinese braised red beef style. Savory, meltingly tender. 古法慢炖，色泽红亮，肉质软烂，酱香甜辣，大马经典下饭菜。",in stock,new,36.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1534939561126-855b8675edd7?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-daging-masak-merah,Ready To Eat Meals / 中式料理包,,9551789215068-dmm-pkt
rte-daging-masak-merah__dmm-ctn,Daging Masak Merah 秘制红烧牛肉 (1kg * 12Pkt * Ctn),"Malaysian classic sweet-spicy red cooked beef or deep Chinese braised red beef style. Savory, meltingly tender. 古法慢炖，色泽红亮，肉质软烂，酱香甜辣，大马经典下饭菜。",in stock,new,456.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1534939561126-855b8675edd7?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-daging-masak-merah,Ready To Eat Meals / 中式料理包,,9551789215068-dmm-ctn
rte-claypot-kambing__ck-pkt,Claypot Kambing 滋补羊肉煲 (350g * Pkt),"Rich, warming claypot style braised mutton with traditional Chinese warming herbs and soy sauces. 陶罐慢火煨炖，羊肉酥烂，浓缩中草药与香料精华，暖身滋补。",in stock,new,11.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1547928500-4722f55cd91e?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-claypot-kambing,Ready To Eat Meals / 中式料理包,9551789216027,
rte-claypot-kambing__ck-ctn,Claypot Kambing 滋补羊肉煲 (20Pkt * Ctn),"Rich, warming claypot style braised mutton with traditional Chinese warming herbs and soy sauces. 陶罐慢火煨炖，羊肉酥烂，浓缩中草药与香料精华，暖身滋补。",in stock,new,220.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1547928500-4722f55cd91e?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-claypot-kambing,Ready To Eat Meals / 中式料理包,,9551789216027-ck-ctn
rte-claypot-ayam__ca-pkt,Claypot Ayam 香浓鸡肉煲 (350g * Pkt),"Aromatic claypot style chicken stew cooked with thick premium soy sauce, ginger, and sesame oil. 黑酱油、生姜与麻油焖煮鸡块，香气浓郁逼人，滑嫩多汁。",in stock,new,6.50 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-claypot-ayam,Ready To Eat Meals / 中式料理包,9551789217178,
rte-claypot-ayam__ca-ctn,Claypot Ayam 香浓鸡肉煲 (20Pkt * Ctn),"Aromatic claypot style chicken stew cooked with thick premium soy sauce, ginger, and sesame oil. 黑酱油、生姜与麻油焖煮鸡块，香气浓郁逼人，滑嫩多汁。",in stock,new,130.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-claypot-ayam,Ready To Eat Meals / 中式料理包,,9551789217178-ca-ctn
rte-ayam-masam-manis__amm-pkt,Ayam Masam & Manis 经典酸甜鸡块 (200g * Pkt),"Crispy fried chicken chunks tossed in a glossy, tangy, sweet tomato and pineapple-based sauce. 酸甜可口，番茄与菠萝调配出黄金比例酱汁裹满鸡丁，经典百搭。",in stock,new,5.80 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1525755662778-989d0524087e?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-ayam-masam-manis,Ready To Eat Meals / 中式料理包,9551789217024,
rte-ayam-masam-manis__amm-ctn,Ayam Masam & Manis 经典酸甜鸡块 (20Pkt * Ctn),"Crispy fried chicken chunks tossed in a glossy, tangy, sweet tomato and pineapple-based sauce. 酸甜可口，番茄与菠萝调配出黄金比例酱汁裹满鸡丁，经典百搭。",in stock,new,116.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1525755662778-989d0524087e?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-ayam-masam-manis,Ready To Eat Meals / 中式料理包,,9551789217024-amm-ctn
rte-ayam-cincang-terung__act-pkt,Ayam Cincang dengan Terung 鸡肉沫茄子 (200g * Pkt),Savory minced chicken sautéed with melt-in-the-mouth purple eggplants in garlic paste sauce. 鸡肉碎咸香多汁，茄子软糯入味，蒜香浓厚，下饭第一名。,in stock,new,5.80 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1623065422902-30a2ad4dc9b4?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-ayam-cincang-terung,Ready To Eat Meals / 中式料理包,9551789217079,
rte-ayam-cincang-terung__act-ctn,Ayam Cincang dengan Terung 鸡肉沫茄子 (20Pkt * Ctn),Savory minced chicken sautéed with melt-in-the-mouth purple eggplants in garlic paste sauce. 鸡肉碎咸香多汁，茄子软糯入味，蒜香浓厚，下饭第一名。,in stock,new,116.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1623065422902-30a2ad4dc9b4?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-ayam-cincang-terung,Ready To Eat Meals / 中式料理包,,9551789217079-act-ctn
rte-ayam-cendawan__ace-pkt,Ayam Cendawan 经典香菇焖鸡 (200g * Pkt),Hearty homestyle chicken stewed with flavorful plump shiitake mushrooms in natural jus broth. 滑嫩鸡块与香菇鲜汤完美契合，慢火焖煮，香气渗入骨髓。,in stock,new,5.80 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1541696432-82c6da8ce7bf?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-ayam-cendawan,Ready To Eat Meals / 中式料理包,9551789217185,
rte-ayam-cendawan__ace-ctn,Ayam Cendawan 经典香菇焖鸡 (20Pkt * Ctn),Hearty homestyle chicken stewed with flavorful plump shiitake mushrooms in natural jus broth. 滑嫩鸡块与香菇鲜汤完美契合，慢火焖煮，香气渗入骨髓。,in stock,new,116.00 MYR,https://alekhlasfood.com/#catalog,https://images.unsplash.com/photo-1541696432-82c6da8ce7bf?auto=format&fit=crop&w=600&q=80,AEM Frozen Food,rte-ayam-cendawan,Ready To Eat Meals / 中式料理包,,9551789217185-ace-ctn
